HashTag,CreatedTime,LastModifiedTime,State
computerscience,2019-10-06 14:42:11,2019-10-06 14:42:11,Follow
venturecapital,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
leanstartups,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
innovation,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
futurism,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
feminism,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
entrepreneurship,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
programming,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
customerrelations,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
technology,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
professionalwomen,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
womeninscience,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
startups,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
education,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
softwareengineering,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
whatinspiresme,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
educationpolicy,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
educationreform,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
gender,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
agilesoftwaredevelopment,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
teachersandschoolemployees,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
highereducation,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
softwaredesign,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
selfservice,2017-03-01 13:30:19,2017-03-01 13:30:19,Follow
