Date,Link,OptionText
2022-09-03 23:22:51,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6971733485816328192,XG-Boost
2022-08-30 15:24:05,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6970380274652110848,"Slower, more accurate"
2022-08-29 14:00:02,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6969935748825251840,True
2022-08-28 16:30:16,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6969578923235917824,All of the above.
2022-08-28 00:58:16,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6969293791077814272,Use larger code size.
2022-08-26 20:42:18,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6968870406661287936,No Formal Methodology
2022-08-26 20:30:00,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6968928008845897728,Higher computation cost
2022-08-26 15:29:16,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6968688952425738240,More Accuracy
2022-08-25 14:37:48,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6968571182719614976,Blog Post
2022-08-22 23:56:46,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6967565335633764352,No
2022-08-22 18:13:45,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6967496478407704577,True
2022-08-22 17:43:10,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6967494632708468736,Is non-zero at a maximum
2022-08-17 15:52:52,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6965649065397129216,Regularizes
2022-08-17 15:52:35,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6965664989277822977,Dropout
2022-08-15 20:43:28,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6964939056820486144,Code size for compression
2022-08-11 21:40:08,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6963507684243378176,Helps in faster convergence
2022-08-11 19:26:45,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6963489578921967616,No
2022-08-09 18:53:42,https://www.linkedin.com/feed/update/urn:li:groupPost:961087-6962791168623460352,All of the above 
2022-06-01 17:10:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6937265309552644097,1. Python
2022-01-21 00:21:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889640468875931648,Faith
2022-01-18 19:19:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889098831456280576,3. Python/R
2022-01-10 15:57:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6885958534714974208,18 - 24
